,RequirementText,Class,cleaned_text,label
245,The system shall locate the preferred repair facility with the highest ratings for the input criteria,F,the system shall locate the preferred repair facility with the highest ratings for the input criteria,0
374,Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,PE,customer shall be able to check the status of their prepaid card  by entering in the pin number  in under 5 seconds,4
435,The system shall reveal private information only in compliance with the organization's information policy.,SE,the system shall reveal private information only in compliance with the organizations information policy,5
339,The product shall send a meeting confirmation to the meeting organizer.,F,the product shall send a meeting confirmation to the meeting organizer,0
55,Every user of the system shall be authenticated and authorized.,SE,every user of the system shall be authenticated and authorized,5
143,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,F,program administratorsnursing staff members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes,0
342,The product shall record different meeting types.,F,the product shall record different meeting types,0
620,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,SE,user access should be limited to the permissions granted to their roles each level in the pcg hierarchy will be assigned a role and users will be assigned to these roles access to functionality within rfs system is dependent on the privilegespermission assigned to the role,5
73,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,US,2 out of 3 program administratorsnursing staff members shall successfully be able to use the system to manage the scheduling of classes and clinicals,6
445,The PHP code will comply with PEAR standards.,Other,the php code will comply with pear standards,3
372,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,F,the system shall generate inventory quantity adjustment document automatically when daily product sales data is available,0
358,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,F,the system shall allow generation of inventory quantity adjustment documents on demand,0
238,The product shall comply with the estimatics laws relating to recycled parts usage.,Other,the product shall comply with the estimatics laws relating to recycled parts usage,3
105,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,F,program administrators and nursing staff members shall be able to specify the preferred sequence of classes for a given cohort,0
437,All credit card information will be encrypted in the database.,SE,all credit card information will be encrypted in the database,5
289,The product shall use a standard navigation menu familiar to most web users.,US,the product shall use a standard navigation menu familiar to most web users,6
510,The product shall remove players who have been inactive for 24 hours from the list of players.,F,the product shall remove players who have been inactive for 24 hours from the list of players,0
295,The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,Other,the product shall be capable of handling up to 1 000 concurrent requests  this number will increase to 2 000 by release 2  the concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours,3
315,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,SE,only managers are able to perform search queries for reservations by user  100 of all search queries for reservations by user shall be from logons of only management logons,5
602,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,US,a new user shall be able to navigate through the league and team pages within 30 seconds of reaching the startup page,6
337,The product shall display a map of the company building showing conference room locations.,F,the product shall display a map of the company building showing conference room locations,0
347,The product shall have a customizable Look and Feel.,F,the product shall have a customizable look and feel,0
275,The preferred repair facility ratings shall be saved by the system.,F,the preferred repair facility ratings shall be saved by the system,0
498,The product shall able to handle a large number of games simultaneously.,PE,the product shall able to handle a large number of games simultaneously,4
195,The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,F,the disputes system must provide search functionality  the search method must include the ability to search by 1 the dispute case number  2 the merchant account number  3 the cardmember account number and 4 the issuer number  in addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute ticket retrieval request or chargeback notification  the case status open  closed or all and the dispute reason code,0
10,The system shall display the Events in a graph by time.,F,the system shall display the events in a graph by time,0
512,Once a game is initiated  the product shall display a defensive grid to each player,F,once a game is initiated  the product shall display a defensive grid to each player,0
520,When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,F,when both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn,0
317,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.,SE,the product shall prevent the input of malicious data  the product andor adjacent hardwaresoftware systems data shall remain 100 uncorrupted each time malicious data is input into the product,5
297,The product shall be expected to operate for at least 5 years for each customer installation.,Other,the product shall be expected to operate for at least 5 years for each customer installation,3
151,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,US,100 of the cardmember and merchant services representatives shall use the disputes application regularly after a 2day training course,6
268,The user shall select to view the preferred repair facility ratings.,F,the user shall select to view the preferred repair facility ratings,0
140,The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,F,the system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter,0
134,The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.,F,the system shall be able to display a printable summary for individual nursing students  which will include but not be limited to student name  student id  admission date  classes  credits  gpa  and the cohort that the student is enrolled in,0
59,The user shall be able to download appointments and contact information for clients,F,the user shall be able to download appointments and contact information for clients,0
468,For leads that process longer than 25 seconds the system will record the event and duration,PE,for leads that process longer than 25 seconds the system will record the event and duration,4
92,Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,SE,program administratorsnursing staff members are the only people who shall have access to clinical site details,5
328,The product shall store new conference rooms.,F,the product shall store new conference rooms,0
362,Product formulas shall allow use of semi-products  which have own formulas.,F,product formulas shall allow use of semiproducts  which have own formulas,0
272,The ratings shall be from a scale of 1-10,F,the ratings shall be from a scale of 110,0
420,Izogn Administrator must be able to add new products to the website within 2 minutes.,PE,izogn administrator must be able to add new products to the website within 2 minutes,4
484,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,F,the leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection,0
549,The system must be available for use between 7:00AM and 11:59PM all days of the year.,Other,the system must be available for use between 700am and 1159pm all days of the year,3
490,The product shall simulate the look of ships at sea.,LF,the product shall simulate the look of ships at sea,1
387,The product should be able to be used by 90% of novice users on the Internet.,US,the product should be able to be used by 90 of novice users on the internet,6
108,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,F,program administrators and nursing staff members shall be able to add new classes to a sequence of classes,0
296,The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,Other,the product shall be able to process 10 000 transactions per hour within two years of its launch  this number will increase to 20 000 by release 2,3
583,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,US,the interface shall be easy to use 90 of users should be able to successfully use the system to generate a report on their first use the interface should adhere to ibm usability standards,6
62,Realtor shall be able to generate a CMA report based on property criteria,F,realtor shall be able to generate a cma report based on property criteria,0
239,The product shall comply with insurance regulations regarding claims processing.,Other,the product shall comply with insurance regulations regarding claims processing,3
246,The adjuster shall enter the preferred repair facility on the estimate assignment.,F,the adjuster shall enter the preferred repair facility on the estimate assignment,0
608,The application shall run on a web application server.,O,the application shall run on a web application server,2
588,The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.,Other,the wcs system shall be available at all times as long as ibms internal intranet w3 is accessible the wcs system will be available 95 of the time ibms internal intranet w3 is available,3
156,The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday ' Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O,the disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows  monday  saturday 300am to 400am est sunday 100amd to 500am est,2
300,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,O,the product must be able to interface with various database management systems the product shall communicate successfully with the database management system on 100 of all transactions,2
571,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,O,the product shall interface csr and datastreamthe product shall exchange messages between csr and eam on a real time basis without any direct interfaces between two systems,2
455,Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,F,website shall allow customers to purchase prepaid cards of 5  10  or 20 value either by credit card or mailin payment option,0
555,The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.,LF,the interface shall be appealing to callers and supervisors in the interface and usability survey  80 of beta testers must report that the interface is appealing,1
373,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,PE,administrator shall be able to activate a prepaid card via the administration section in under 5 seconds,4
287,The product shall allow for customization of start page and views preferences.,US,the product shall allow for customization of start page and views preferences,6
278,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O,the product will require collaboration with a database management system dbms  the dbms may be located on the same machine as the product or on a separate machine residing on the same computer network,2
464,Daily usage statistics should be logged  and accessible by the administrator.,F,daily usage statistics should be logged  and accessible by the administrator,0
618,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW  must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.,Other,new branchescomplexesdistrictsregions and revenueexpense accounts added to the bdw  must be reflected in the rfs system 100 of the entities mentioned above available as of october monthend  will be loaded into the rfs system  prior to the budget start process,3
23,The system shall allow a user to define the time segments,F,the system shall allow a user to define the time segments,0
260,The recycled parts search results provided to the estimator shall be retrieved by the system.,F,the recycled parts search results provided to the estimator shall be retrieved by the system,0
162,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,SE,the disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests,5
375,System shall let customers register on the website as a 'pay as you go' user in under 5 minutes.,PE,system shall let customers register on the website as a pay as you go user in under 5 minutes,4
69,All of the users shall be able to use the system after one day of training.,US,all of the users shall be able to use the system after one day of training,6
436,All customer information will be stored on a secure database  accessible only to authorized personnel.,SE,all customer information will be stored on a secure database  accessible only to authorized personnel,5
40,The product shall synchronize contacts and appointments in an acceptable time.,PE,the product shall synchronize contacts and appointments in an acceptable time,4
349,The product will display an available status for unreserved conference rooms.,F,the product will display an available status for unreserved conference rooms,0
334,The product shall allow an organizer to invite other employees to meetings.,F,the product shall allow an organizer to invite other employees to meetings,0
153,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,US,100 of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course,6
72,The system shall be intuitive to the Program Administrators/Nursing Staff Members.,US,the system shall be intuitive to the program administratorsnursing staff members,6
582,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,US,the system must use a point and click interface 100 of all selection and navigation functionality must be able to be activatedselected by either a mouse or a keyboard,6
49,The product shall be able support 1000 simultaneous users.,Other,the product shall be able support 1000 simultaneous users,3
147,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  e-mail  status (full time or part time)  and program of study.,F,program administratorsnursing staff members shall have the ability to modify information relating to a nursing student  including student id  student name  phone number  email  status full time or part time  and program of study,0
45,The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.,Other,the product shall allow the user to view previously downloaded search results  cma reports  and appointments,3
531,When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,F,when the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player,0
136,The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.,F,the system shall contain contact information email and phone number for all people relevant to the system  including but not limited to staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators,0
438,The streaming server will have anti-virus software to prevent infection of malicious viruses.,SE,the streaming server will have antivirus software to prevent infection of malicious viruses,5
180,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,F,the disputes system will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users,0
513,Once a game is initiated  the product shall display an offensive grid to each player.,F,once a game is initiated  the product shall display an offensive grid to each player,0
65,The realtor shall be able to retrieve a map showing property locations for a specified area,F,the realtor shall be able to retrieve a map showing property locations for a specified area,0
6,The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US,the product shall be intuitive and selfexplanatory    90 of new users shall be able to start the display of events or activities within 90 minutes of using the product,6
32,The system shall be used by realtors with no training.,US,the system shall be used by realtors with no training,6
229,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O,product installations and upgrades shall be handled by the middleware technology team within established launch time frames,2
0,The system shall refresh the display every 60 seconds.,PE,the system shall refresh the display every 60 seconds,4
554,The interface shall have a simple look. In the interface and usability survey  90% of beta testers must report that the interface is adequately simple.,LF,the interface shall have a simple look in the interface and usability survey  90 of beta testers must report that the interface is adequately simple,1
84,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O,the system shall able to operate within a business office environment typical of the nursing department at depaul university,2
324,The product will notify employees of meeting invitations.,F,the product will notify employees of meeting invitations,0
336,The product shall record the transportation status of equipment reserved.,F,the product shall record the transportation status of equipment reserved,0
407,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,Other,the streaming server will support a maximum of 700 movies new servers can be added to support more movies,3
446,The website will allow customers to search for movies by title  actor  or director.,F,the website will allow customers to search for movies by title  actor  or director,0
38,The product shall generate a CMA report in an acceptable time.,PE,the product shall generate a cma report in an acceptable time,4
321,The product shall be able to display calendar dates and times according to the user's locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,US,the product shall be able to display calendar dates and times according to the users locale  90 of survey respondents from each target market country will find that the date and time formatting of the product is correct,6
284,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US,the product shall be easy to use 90 of users will be able to successfully reserve a conference room within 5 minutes of product use,6
514,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,F,the product shall prevent a player from viewing the offensive or defensive grids of the other player,0
360,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,F,the iqa subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly,0
209,The product shall comply with corporate color scheme,LF,the product shall comply with corporate color scheme,1
52,90% of untrained realtors shall be able to install the product on their device without printed instructions,US,90 of untrained realtors shall be able to install the product on their device without printed instructions,6
539,When a game is ended  the product shall notify the players that the game is ended.,F,when a game is ended  the product shall notify the players that the game is ended,0
103,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,F,program administrators and nursing staff members shall be able to add a single student to a cohort,0
533,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,F,if the shot was marked as a hit  the product shall allow the offensive player to define a shot,0
350,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE,recreation of inventory quantity adjustment for the period of previous 30 days shall take no more than 30min,4
313,The product shall be able to be installed in any operating environment within 2 days.,O,the product shall be able to be installed in any operating environment within 2 days,2
501,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,US,the product shall be intuitive and selfexplanatory  nine out ten users shall be able to successfully complete a game with no training,6
546,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,PE,on a 56k connection  the system response time for all operations must be no more than 6 seconds 90 of the time,4
132,The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).,F,the system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter clinical site  general information on labs held at that location  dates and times of all labs held there,0
252,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,F,the system shall search for available recycled parts for the supplied vehicle parts and suppliers,0
231,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE,only adjusters with a supervisor role can update preferred repair facility ratings users without the supervisor role cannot access the repair facility ratings,5
98,The system shall protect private information in accordance with the organization's information policy.,SE,the system shall protect private information in accordance with the organizations information policy,5
208,The product shall comply with corporate User Interface Guidelines,LF,the product shall comply with corporate user interface guidelines,1
198,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,F,the dispute system shall provide the users with the ability to follow up on a dispute case via followup actions  the list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user,0
142,The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.,F,the system will notify affected parties when changes occur affecting specific students  including but not limited to changing a students status from full time to part time and moving a student to a different clinical section,0
385,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,LF,the website should have an african feel  but should not alienate nonafricans  the website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up,1
443,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,Other,izognmovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream african movies,3
589,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,Other,the wcs system shall have the ability to connect other designated wcs databases currently not included in the system,3
254,The system shall retain the available recycled parts and suppliers returned from the search.,F,the system shall retain the available recycled parts and suppliers returned from the search,0
572,: The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,Other, the product shall continue to operate during upgrade  change or new resource additionthe product shall be able to continue to operate with no interruption in service due to new resource additions,3
269,The current repair facility ratings shall be displayed to the user.,F,the current repair facility ratings shall be displayed to the user,0
46,The product shall retain user preferences in the event of a failure.,Other,the product shall retain user preferences in the event of a failure,3
425,Only registered customers can purchase streaming movies.,SE,only registered customers can purchase streaming movies,5
183,The Disputes System shall provide update access capability for authorized users of the application.,F,the disputes system shall provide update access capability for authorized users of the application,0
378,System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,PE,system shall let customers cancel their account  process shall take no longer than 2 minutes  database will mark the account as inactive  and user will not be able to log into the website,4
526,For each shot  the product shall notify the players whether the shot was a hit or miss.,F,for each shot  the product shall notify the players whether the shot was a hit or miss,0
126,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,F,the system shall allow a program administrator or nursing staff member to remove a student from a clinical lab section,0
248,The preferred repair facility shall be returned to the user.,F,the preferred repair facility shall be returned to the user,0
364,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,F,product formula substitutionary ingredients shall be entered automatically by the pfe subsystem,0
599,Each page shall contain a navigation menu which shows the index into which the current page is contained.,LF,each page shall contain a navigation menu which shows the index into which the current page is contained,1
234,One insurance company shall not be able to view another insurance companys claim data.,SE,one insurance company shall not be able to view another insurance companys claim data,5
53,The product is expected to run on Windows CE and Palm operating systems.,Other,the product is expected to run on windows ce and palm operating systems,3
201,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,F,all letter requests must be formatted according to guidelines specified by the print letter utility system,0
152,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,US,100 of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course,6
27,The system shall provide a history report of changes made to the Activity or Event data,F,the system shall provide a history report of changes made to the activity or event data,0
340,The product shall display room equipment according to search parameters.,F,the product shall display room equipment according to search parameters,0
369,PME Subsystem shall allow for a product to exist in more than one submenu,F,pme subsystem shall allow for a product to exist in more than one submenu,0
227,The maintenance of the product will fall within the established corporate maintenance windows.,O,the maintenance of the product will fall within the established corporate maintenance windows,2
211,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,US,the product shall be easy to use by adjusters and collision estimators  95 of adjusters and collision estimators shall find the product easy to use,6
102,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,F,program administrators and nursing staff members shall be able to add a listing of students to a cohort,0
194,The Disputes System must provide the ability to view existing dispute cases.,F,the disputes system must provide the ability to view existing dispute cases,0
551,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,SE,the product shall ensure that only supervisors can advertise empty time slotsthe product must ensure that supervisors are allowed to access advertise empty time slots,5
414,Website must interface with the CyberSource API to process credit card transactions.,O,website must interface with the cybersource api to process credit card transactions,2
117,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,F,program administrators and nursing staff members shall have the ability to specify which classes are required for a program of study,0
500,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,PE,the product shall protect the identity of the players the product shall provide players no access to information that might reveal the identity of another player,4
158,The Disputes application shall interface with the Cardmember Information Database.  The Cardmember Information Database provides detailed information with regard to a cardmember.  All cardmember detail information must be obtained from the Cardmember Information Database.,O,the disputes application shall interface with the cardmember information database  the cardmember information database provides detailed information with regard to a cardmember  all cardmember detail information must be obtained from the cardmember information database,2
357,The System shall not require additional third party licenses resulting in royalty fees.,O,the system shall not require additional third party licenses resulting in royalty fees,2
34,The product shall be easy for a realtor to learn.,US,the product shall be easy for a realtor to learn,6
263,The audit report shall include the number of available recycled parts from the original search results.,F,the audit report shall include the number of available recycled parts from the original search results,0
14,The table side of the display shall be split into 2 regions: sequential and temporal.,F,the table side of the display shall be split into 2 regions sequential and temporal,0
330,The product will be able to delete conference rooms.,F,the product will be able to delete conference rooms,0
426,A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,SE,a customer can only stream a movie if they purchased it  and are within the 2 day viewing period,5
384,The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,LF,the website shall be attractive to all audiences  the website shall appear to be fun and the colors should be bright and vibrant,1
8,The system shall have a MDI form that allows for the viewing of the graph and the data table.,F,the system shall have a mdi form that allows for the viewing of the graph and the data table,0
579,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,LF,the system shall be displayable on any work computer a ccr user may have the system interface shall be formatted to display at 800 by 600 pixel resolution,1
538,The product shall allow a player to end a game at any time during the game.,F,the product shall allow a player to end a game at any time during the game,0
270,The system will display a blank set of ratings if there are not ratings yet defined.,F,the system will display a blank set of ratings if there are not ratings yet defined,0
447,viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,F,viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator,0
433,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,SE,the website shall make its user aware of its information practices before collection data from them via a privacy policy  accessible on all pages of the website,5
502,The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,US,the product shall be available to players who understand english  spanish and french  the product shall allow the user to select the language upon accessing the product,6
363,Product formula ingredients shall allow defining substitutionary ingredients.,F,product formula ingredients shall allow defining substitutionary ingredients,0
457,System shall allow users to update their billing and contact information via the 'My Account' section of the website.,F,system shall allow users to update their billing and contact information via the my account section of the website,0
603,Users shall be able to reach the 'add'  'drop'  and 'trade player' pages with one click from the team owner's page.,US,users shall be able to reach the add  drop  and trade player pages with one click from the team owners page,6
368,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,F,pme subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order,0
200,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,F,for any systematic nonuser initiated action that occurs on a case such as the disputes aging process  a case activity will be generated  upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case,0
563,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,PE,the product shall process messages within 2 secondsthe product shall have a maximum message processing time of 2 seconds,4
61,The system shall update or create new property listings in the MLS,F,the system shall update or create new property listings in the mls,0
206,The product shall run on the existing hardware for all environments.,O,the product shall run on the existing hardware for all environments,2
302,The product shall be available for distribution via the Internet as a binary or ZIP file.,O,the product shall be available for distribution via the internet as a binary or zip file,2
82,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,Other,the system shall be capable of processing 100 of nursing students and their classes for the next 10 years,3
405,The website shall continue to operate if the payment gateway goes down.,Other,the website shall continue to operate if the payment gateway goes down,3
528,For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,F,for each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player,0
411,All aspects of the website shall be accessed by a web browser over the Internet.,O,all aspects of the website shall be accessed by a web browser over the internet,2
113,A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.,F,a nonclinical class shall specify the course name  lecture room requirements  and instructor needs,0
623,The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,US,the users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion with a week of training prior to product implementation  98 of the users shall complete their budgets within the stipulated time,6
242,The vehicle location shall include street address  city  state  and zipcode,F,the vehicle location shall include street address  city  state  and zipcode,0
495,When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,LF,when a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target,1
39,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE,the cma report shall be returned no later 60 seconds after the user has entered the cma report criteria,4
311,The product shall be translated into foreign languages other than the target market countries' languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market's language.,US,the product shall be translated into foreign languages other than the target market countries languages in future releases  for each emerging target market  it shall take no more than 5 days to configure the product for that markets language,6
596,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.,SE,the wcs system shall not allow automatic logins by any user cookies containing wcs login information about a user will not be stored on a users computer,5
186,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,F,the disputes system will provide the user the ability to create or initiate a ticket retrieval request   as part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request  the ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction,0
265,The audit report shall include the total score of the audit which sums the indivual line items.,F,the audit report shall include the total score of the audit which sums the indivual line items,0
165,All authorized users  once authenticated must be able to logon to the Disputes System,SE,all authorized users  once authenticated must be able to logon to the disputes system,5
81,The system shall cater to 10 simultaneous users from 9am to 5pm.,Other,the system shall cater to 10 simultaneous users from 9am to 5pm,3
409,The website shall be capable of supporting 100 000 customers.,Other,the website shall be capable of supporting 100 000 customers,3
595,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,SE,the system shall only be accessed by authorized corporate community grants ccr employees users must be authenticated using their ibm intranet user name and password,5
230,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SE,only adjusters can request recycled parts audit reports no users without an adjuster role shall request recycled parts audits,5
605,The application shall ask the user to confirm dropping a player or trading a player before performing the action.,US,the application shall ask the user to confirm dropping a player or trading a player before performing the action,6
320,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,Other,the language of the product shall accommodate all of the target market countries 90 of survey respondents from each target market country will find that the language of the product is acceptable,3
24,The system shall display the local and exercise time in separate clocks,F,the system shall display the local and exercise time in separate clocks,0
29,The user interface shall have standard menus  buttons for navigation,LF,the user interface shall have standard menus  buttons for navigation,1
