,RequirementText,Class,cleaned_text,label
189,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,F,the disputes system must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information the dispute case number  the type of retrieval requested copy  original or portfolio  and the date that the merchant response is due,0
190,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,F,the disputes system shall allow the user to create or initiate a chargeback request  the system must prompt the user to enter the required information to initiate a chargeback request the chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid,0
191,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,F,the disputes system must provide a confirmation to the user upon the creation of a chargeback request the confirmation must contain the following information the dispute case number  the type of chargeback requested pending or immediate  and the date that the merchant response is due,0
192,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,F,the disputes system shall prevent the creation of duplicate dispute requests 100 of the time,0
193,The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,F,the disputes system shall accurately provide a list of possible reason codes for a given transaction  the list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the disputes system,0
194,The Disputes System must provide the ability to view existing dispute cases.,F,the disputes system must provide the ability to view existing dispute cases,0
195,The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,F,the disputes system must provide search functionality  the search method must include the ability to search by 1 the dispute case number  2 the merchant account number  3 the cardmember account number and 4 the issuer number  in addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute ticket retrieval request or chargeback notification  the case status open  closed or all and the dispute reason code,0
196,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,F,a list of all disputes cases that meet the entered search criteria must be provided to the user  the list of cases must differentiate the type andor status of the case by color coding the line item in the list  for example all open cases will be yellow and all closed cases will be gray,0
197,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,F,the disputes system shall provide the users the ability to view the history of all activities that have occurred on the dispute case,0
198,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,F,the dispute system shall provide the users with the ability to follow up on a dispute case via followup actions  the list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user,0
199,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,F,the disputes system shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system  a detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes,0
200,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,F,for any systematic nonuser initiated action that occurs on a case such as the disputes aging process  a case activity will be generated  upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case,0
201,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,F,all letter requests must be formatted according to guidelines specified by the print letter utility system,0
202,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,F,any disputes cases that have been closed for over 6 months must be purged from the online disputes database,0
203,The product must support Internet Explorer 5.5 and above.,O,the product must support internet explorer 55 and above,2
204,The product must support Mozilla Firefox 1.0 and above.,O,the product must support mozilla firefox 10 and above,2
205,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,O,the product shall interface with the choice parts system  this provides the feed of recycled parts data,2
206,The product shall run on the existing hardware for all environments.,O,the product shall run on the existing hardware for all environments,2
207,The product shall adhere to the corporate Architecture guidelines,O,the product shall adhere to the corporate architecture guidelines,2
208,The product shall comply with corporate User Interface Guidelines,LF,the product shall comply with corporate user interface guidelines,1
209,The product shall comply with corporate color scheme,LF,the product shall comply with corporate color scheme,1
210,The appearance of the product shall appear professional,LF,the appearance of the product shall appear professional,1
211,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,US,the product shall be easy to use by adjusters and collision estimators  95 of adjusters and collision estimators shall find the product easy to use,6
212,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US,the product shall increase productivity of collision estimators 80 of the collision estimators shall agree their productivity has increase within 1 month of using the product,6
213,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,US,users shall feel satisfied using the product  85 of all users will be satisfied with the product,6
214,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,US,the product shall be easy to learn by adjusters and collision estimators  the product shall be learned with two days onsite training,6
215,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,US,the user shall easily locate instructions while using the product  user help can be found within 90 of the system,6
216,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,PE,the search for recycled parts shall take no longer than 15 seconds  the search results shall be returned in under 15 seconds,4
217,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,PE,the search for the preferred repair facility shall take no longer than 8 seconds  the preferred repair facility is returned within 8 seconds,4
218,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,PE,the recycled parts audit report shall be returned to the user within 10 seconds  the audit report shall be returned within 10 seconds,4
219,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE,the preferred repair facility ratings shall be saved within 5 seconds the save shall occur within 5 seconds,4
220,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,Other,the product shall adhere to the corporate online availability schedule  the application is brought down only within 98 of the scheduled outages per the availability schedule,3
221,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,Other,the product shall achieve a 98 uptime the product shall not fail more than 2 of the available online time,3
222,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,Other,the product shall be able to handle up to 1500 simultaneous users the system shall perform with 1500 users as a time,3
223,The average number of recycled parts records per day shall be 50 000.,Other,the average number of recycled parts records per day shall be 50 000,3
224,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,Other,the product shall be able to handle 10 000 concurrent users within 2 years of the initial launch,3
225,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O,for estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions,2
226,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O,the product shall interface with the choiceparts system once per day at approximately 100 am,2
227,The maintenance of the product will fall within the established corporate maintenance windows.,O,the maintenance of the product will fall within the established corporate maintenance windows,2
228,The product shall be supported using the corporate support center.,O,the product shall be supported using the corporate support center,2
229,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O,product installations and upgrades shall be handled by the middleware technology team within established launch time frames,2
230,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SE,only adjusters can request recycled parts audit reports no users without an adjuster role shall request recycled parts audits,5
231,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE,only adjusters with a supervisor role can update preferred repair facility ratings users without the supervisor role cannot access the repair facility ratings,5
232,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,SE,only collision estimators shall search for recycled parts  users without the collision estimator role shall not have access to the search for recycled parts,5
233,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.,SE,only valid data shall be entered into the system  no invalid data shall be entered into the system,5
234,One insurance company shall not be able to view another insurance companys claim data.,SE,one insurance company shall not be able to view another insurance companys claim data,5
235,The product shall free of computer viruses.,SE,the product shall free of computer viruses,5
236,The system shall prevent malicious attacks including denial of service.,SE,the system shall prevent malicious attacks including denial of service,5
237,The product must comply with Sarbanes-Oxley.,Other,the product must comply with sarbanesoxley,3
238,The product shall comply with the estimatics laws relating to recycled parts usage.,Other,the product shall comply with the estimatics laws relating to recycled parts usage,3
239,The product shall comply with insurance regulations regarding claims processing.,Other,the product shall comply with insurance regulations regarding claims processing,3
240,The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,F,the user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles,0
241,The vehicle data shall include vehicle year  make  and model,F,the vehicle data shall include vehicle year  make  and model,0
242,The vehicle location shall include street address  city  state  and zipcode,F,the vehicle location shall include street address  city  state  and zipcode,0
243,The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.,F,the system shall resolve the zipcode for the street address  city  and state if zipcode is unknown,0
244,The search radius shall be between 1 and 30 miles,F,the search radius shall be between 1 and 30 miles,0
245,The system shall locate the preferred repair facility with the highest ratings for the input criteria,F,the system shall locate the preferred repair facility with the highest ratings for the input criteria,0
246,The adjuster shall enter the preferred repair facility on the estimate assignment.,F,the adjuster shall enter the preferred repair facility on the estimate assignment,0
247,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,F,the adjuster shall be able to override the preferred repair facitlity on the estimate assignment,0
248,The preferred repair facility shall be returned to the user.,F,the preferred repair facility shall be returned to the user,0
249,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,F,the system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined,0
250,The estimator shall search for available recycled parts using damaged vehicle parts information.,F,the estimator shall search for available recycled parts using damaged vehicle parts information,0
251,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,F,the estimator shall search for available recycled parts using a list of preferred parts suppliers,0
252,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,F,the system shall search for available recycled parts for the supplied vehicle parts and suppliers,0
253,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,F,the estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,0
254,The system shall retain the available recycled parts and suppliers returned from the search.,F,the system shall retain the available recycled parts and suppliers returned from the search,0
255,The available recycled parts information and their suppliers shall be returned to the user.,F,the available recycled parts information and their suppliers shall be returned to the user,0
256,The estimator shall apply selected recycled parts to the collision estimate.,F,the estimator shall apply selected recycled parts to the collision estimate,0
257,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,F,the estimator shall not apply recycled parts to the collision estimate if no available parts are returned,0
258,The adjuster shall review the collision estimate.,F,the adjuster shall review the collision estimate,0
259,The adjuster shall request a recycled parts audit of the collision estimate.,F,the adjuster shall request a recycled parts audit of the collision estimate,0
260,The recycled parts search results provided to the estimator shall be retrieved by the system.,F,the recycled parts search results provided to the estimator shall be retrieved by the system,0
261,The system shall generate an audit report based on the available recycled parts and the collision estimate.,F,the system shall generate an audit report based on the available recycled parts and the collision estimate,0
262,The audit report shall include the total number of recycled parts used in the estimate.,F,the audit report shall include the total number of recycled parts used in the estimate,0
263,The audit report shall include the number of available recycled parts from the original search results.,F,the audit report shall include the number of available recycled parts from the original search results,0
264,The audit report shall include the percentage of available recycled parts used in the estimate ,F,the audit report shall include the percentage of available recycled parts used in the estimate ,0
265,The audit report shall include the total score of the audit which sums the indivual line items.,F,the audit report shall include the total score of the audit which sums the indivual line items,0
266,The audit report shall be displayed to the user.,F,the audit report shall be displayed to the user,0
267,The audit report shall be available to other adjusters at later points in time.,F,the audit report shall be available to other adjusters at later points in time,0
268,The user shall select to view the preferred repair facility ratings.,F,the user shall select to view the preferred repair facility ratings,0
269,The current repair facility ratings shall be displayed to the user.,F,the current repair facility ratings shall be displayed to the user,0
270,The system will display a blank set of ratings if there are not ratings yet defined.,F,the system will display a blank set of ratings if there are not ratings yet defined,0
271,The user shall enter new ratings based on the audit report,F,the user shall enter new ratings based on the audit report,0
272,The ratings shall be from a scale of 1-10,F,the ratings shall be from a scale of 110,0
273,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,F,the ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,0
274,The user shall select to save the preferred repair facility ratings.,F,the user shall select to save the preferred repair facility ratings,0
275,The preferred repair facility ratings shall be saved by the system.,F,the preferred repair facility ratings shall be saved by the system,0
276,The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O,the product must work with most database management systems dbms on the market  whether the dbms is colocated with the product on the same machine or is located on a different machine on the computer network,2
277,The product will function alongside server software on any operating system where the Java runtime can be installed.,O,the product will function alongside server software on any operating system where the java runtime can be installed,2
278,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O,the product will require collaboration with a database management system dbms  the dbms may be located on the same machine as the product or on a separate machine residing on the same computer network,2
279,The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.,O,the product must make use of webapplication server technology  open source examples include apache web server  tomcat  and the jboss application server,2
280,A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.,O,a database management system such as oracle  db2  mysql or hsql will need to be integrated with the product,2
281,The product's Look and Feel shall be able to incorporate aspects of the customer's organization such as logo  branding  and identity,LF,the products look and feel shall be able to incorporate aspects of the customers organization such as logo  branding  and identity,1
282,The product shall have a conservative and professional appearance.,LF,the product shall have a conservative and professional appearance,1
283,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,US,the product shall make the users want to use it 80 of the users surveyed report they are regularly using the product after the first 2 weeks postlaunch,6
284,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US,the product shall be easy to use 90 of users will be able to successfully reserve a conference room within 5 minutes of product use,6
285,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,US,the product shall give users feedback when necessary 80 of the users surveyed report that the product accurately confirms their actions,6
286,The product shall allow the user to select a chosen language from one of the target market countries.,US,the product shall allow the user to select a chosen language from one of the target market countries,6
287,The product shall allow for customization of start page and views preferences.,US,the product shall allow for customization of start page and views preferences,6
288,An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,US,an employee will be able to successfully use the product within a few minutes  after informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms,6
289,The product shall use a standard navigation menu familiar to most web users.,US,the product shall use a standard navigation menu familiar to most web users,6
290,The product shall allow for intuitive searching of available conference rooms.,US,the product shall allow for intuitive searching of available conference rooms,6
291,The product shall conform to the Americans with Disabilities Act.,US,the product shall conform to the americans with disabilities act,6
292,The response shall be fast enough to avoid interrupting the user's flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,PE,the response shall be fast enough to avoid interrupting the users flow of thought  90 of tasks shall complete within 5 seconds  98 of tasks shall complete within 8 seconds,4
293,Aside from server failure  the software product shall achieve 99.99% up time.,Other,aside from server failure  the software product shall achieve 9999 up time,3
294,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,Other,the product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution,3
295,The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,Other,the product shall be capable of handling up to 1 000 concurrent requests  this number will increase to 2 000 by release 2  the concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours,3
296,The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,Other,the product shall be able to process 10 000 transactions per hour within two years of its launch  this number will increase to 20 000 by release 2,3
297,The product shall be expected to operate for at least 5 years for each customer installation.,Other,the product shall be expected to operate for at least 5 years for each customer installation,3
298,The product shall be used in office environments.,O,the product shall be used in office environments,2
299,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O,the product must be able to interface with any html browser  the product shall transmit data between the user and the product without problems the product shall display html properly in 80 of all html browsers tested minimum is to test 8 browsers,2
300,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,O,the product must be able to interface with various database management systems the product shall communicate successfully with the database management system on 100 of all transactions,2
301,The product must be able to interface with various email servers. The product shall be able to send email.,O,the product must be able to interface with various email servers the product shall be able to send email,2
302,The product shall be available for distribution via the Internet as a binary or ZIP file.,O,the product shall be available for distribution via the internet as a binary or zip file,2
303,The product shall be available for distribution as a packaged CD.,O,the product shall be available for distribution as a packaged cd,2
304,The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,O,the product will be available for licensing as a oneserver  twofive servers  or fiveormore servers license,2
305,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,US,a new user must be able to be added to the system within 10 minutes  90 of new users are able to log into the system within 10 minutes,6
306,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,Other,the product must be designed using design patterns and coding best practices  90 of maintenance software developers are able to integrate new functionality into the product with 2 working days,3
307,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product's software code.,Other,the product must be highly configurable for use with various database management systems for the end users  80 of end users are able to integrate new database management systems with the product without changing the products software code,3
308,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,Other,maintenance releases will be offered to customers once a year  the releases shall take no longer than 5 minutes for 80 of the customer base to install,3
309,Every registered user will have access to the product's support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,US,every registered user will have access to the products support site via the internet  70 of registered users shall find a solution to their problem within 5 minutes of using the support site,6
310,The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,Other,the customer shall be able to easily integrate new building maps with the product throughout the products lifecycle  integration of new maps with the product shall be possible with little to no support from product support staff,3
311,The product shall be translated into foreign languages other than the target market countries' languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market's language.,US,the product shall be translated into foreign languages other than the target market countries languages in future releases  for each emerging target market  it shall take no more than 5 days to configure the product for that markets language,6
312,The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,O,the product is expected to integrate with multiple database management systems  the product will operate with oracle  sql server  db2  mysql  hsql  and ms access,2
313,The product shall be able to be installed in any operating environment within 2 days.,O,the product shall be able to be installed in any operating environment within 2 days,2
314,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,SE,the product shall ensure that only company employees or external users with companyapproved user ids may have product access  100 of all logons shall be by either company employees or external users with companyapproved user ids,5
315,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,SE,only managers are able to perform search queries for reservations by user  100 of all search queries for reservations by user shall be from logons of only management logons,5
316,The product shall ensure that the database's data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,SE,the product shall ensure that the databases data corresponds to the data entered by the user  each conference room reservation in the system will contain the same information as was entered by the user,5
317,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.,SE,the product shall prevent the input of malicious data  the product andor adjacent hardwaresoftware systems data shall remain 100 uncorrupted each time malicious data is input into the product,5
318,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,Other,the product andor dependent databasesfilesystems shall remain operational as a result of the input of malicious data  the product andor dependent databasesfilesystems shall not crash 100 of the time that malicious data is input into the product,3
319,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,SE,the product shall have the ability to receive automatic software updates as new threats emerge  100 of customers will be able to receive automatic software updates transmitted to the installed product,5
320,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,Other,the language of the product shall accommodate all of the target market countries 90 of survey respondents from each target market country will find that the language of the product is acceptable,3
321,The product shall be able to display calendar dates and times according to the user's locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,US,the product shall be able to display calendar dates and times according to the users locale  90 of survey respondents from each target market country will find that the date and time formatting of the product is correct,6
322,The product must be developed with the J2SE/J2EE programming language libraries,O,the product must be developed with the j2sej2ee programming language libraries,2
323,The product shall record meeting entries.,F,the product shall record meeting entries,0
324,The product will notify employees of meeting invitations.,F,the product will notify employees of meeting invitations,0
325,The product shall have the ability to send meeting reminders to employees.,F,the product shall have the ability to send meeting reminders to employees,0
326,The product shall assign the organizers contact information to each meeting they create.,F,the product shall assign the organizers contact information to each meeting they create,0
327,The product will record meeting acknowledgements.,F,the product will record meeting acknowledgements,0
328,The product shall store new conference rooms.,F,the product shall store new conference rooms,0
329,The product shall update existing conference rooms.,F,the product shall update existing conference rooms,0
330,The product will be able to delete conference rooms.,F,the product will be able to delete conference rooms,0
331,The product shall be able to store new room equipment.,F,the product shall be able to store new room equipment,0
332,The product will update existing room equipment.,F,the product will update existing room equipment,0
333,The product shall be able to delete room equipment.,F,the product shall be able to delete room equipment,0
334,The product shall allow an organizer to invite other employees to meetings.,F,the product shall allow an organizer to invite other employees to meetings,0
335,Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,F,each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation,0
336,The product shall record the transportation status of equipment reserved.,F,the product shall record the transportation status of equipment reserved,0
337,The product shall display a map of the company building showing conference room locations.,F,the product shall display a map of the company building showing conference room locations,0
338,The product shall record updated meeting agendas.,F,the product shall record updated meeting agendas,0
339,The product shall send a meeting confirmation to the meeting organizer.,F,the product shall send a meeting confirmation to the meeting organizer,0
340,The product shall display room equipment according to search parameters.,F,the product shall display room equipment according to search parameters,0
341,The product shall display conference rooms according to search parameters.,F,the product shall display conference rooms according to search parameters,0
342,The product shall record different meeting types.,F,the product shall record different meeting types,0
343,The product shall record all the equipment that has been reserved.,F,the product shall record all the equipment that has been reserved,0
344,The product shall notify building personnel of equipment transport requests.,F,the product shall notify building personnel of equipment transport requests,0
345,The product will allow priviledged users to view meeting schedules in multiple reporting views.,F,the product will allow priviledged users to view meeting schedules in multiple reporting views,0
346,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,F,the product shall be able to send meeting notifications via different kinds of enduser specified methods,0
347,The product shall have a customizable Look and Feel.,F,the product shall have a customizable look and feel,0
348,The product shall have an intuitive user interface.,F,the product shall have an intuitive user interface,0
349,The product will display an available status for unreserved conference rooms.,F,the product will display an available status for unreserved conference rooms,0
350,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE,recreation of inventory quantity adjustment for the period of previous 30 days shall take no more than 30min,4
351,The System shall allow for a minimum of  6 users to work at the same time.,PE,the system shall allow for a minimum of  6 users to work at the same time,4
352,The System shall utilize currently owned computer equipment.,O,the system shall utilize currently owned computer equipment,2
353,The System shall be able to automatically backup business data and restore them on demand.,O,the system shall be able to automatically backup business data and restore them on demand,2
354,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,SE,the system shall maintain consistent security  any changes in user passwords andor permissions should take affect in all parts of the system,5
355,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,SE,the system shall granularly control access rights to all major subsystems  it should be possible to assign access rights to all subsystems independently,5
356,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,Other,the system shall meet all applicable accounting standards  the final version of the system must successfully pass independent audit performed by a certified auditor,3
357,The System shall not require additional third party licenses resulting in royalty fees.,O,the system shall not require additional third party licenses resulting in royalty fees,2
358,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,F,the system shall allow generation of inventory quantity adjustment documents on demand,0
359,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,F,the system shall allow on demand generation of all inventory quantity adjustment documents since certain point of time,0
360,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,F,the iqa subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly,0
361,The System shall allow entering  storing and modifying product formulas.,F,the system shall allow entering  storing and modifying product formulas,0
362,Product formulas shall allow use of semi-products  which have own formulas.,F,product formulas shall allow use of semiproducts  which have own formulas,0
363,Product formula ingredients shall allow defining substitutionary ingredients.,F,product formula ingredients shall allow defining substitutionary ingredients,0
364,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,F,product formula substitutionary ingredients shall be entered automatically by the pfe subsystem,0
365,Formula substitutionary ingredients shall be kept in persisted order,F,formula substitutionary ingredients shall be kept in persisted order,0
366,Product shall allow entering  storing and modifying product menus used by POS terminals.,F,product shall allow entering  storing and modifying product menus used by pos terminals,0
367,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,F,pme subsystem shall allow building product menus based on the list of products kept in the accounting system,0
368,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,F,pme subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order,0
369,PME Subsystem shall allow for a product to exist in more than one submenu,F,pme subsystem shall allow for a product to exist in more than one submenu,0
370,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,F,the rms system shall have windows xp look and feel and use gui futures making its use intuitive,0
371,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,F,the system shall generate inventory quantity adjustment document based on product daily sales data and product formulas,0
372,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,F,the system shall generate inventory quantity adjustment document automatically when daily product sales data is available,0
373,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,PE,administrator shall be able to activate a prepaid card via the administration section in under 5 seconds,4
374,Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,PE,customer shall be able to check the status of their prepaid card  by entering in the pin number  in under 5 seconds,4
375,System shall let customers register on the website as a 'pay as you go' user in under 5 minutes.,PE,system shall let customers register on the website as a pay as you go user in under 5 minutes,4
376,System shall let customers register on the website as a 'unlimited movie subscriber' user in under 10 minutes.,PE,system shall let customers register on the website as a unlimited movie subscriber user in under 10 minutes,4
377,System shall let existing customers log into the website with their email address and password in under 5 seconds.,PE,system shall let existing customers log into the website with their email address and password in under 5 seconds,4
378,System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,PE,system shall let customers cancel their account  process shall take no longer than 2 minutes  database will mark the account as inactive  and user will not be able to log into the website,4
379,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PE,system shall let administrator deactivate a customer account in under 1 minute customer will no longer be able to access the website,4
380,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,PE,system shall let administrator addremove movies on the website in under 5 minutes  entered movie information will be stored in the database and will now be available on the website,4
381,System shall let the administrator add/remove categories on the website in under 5 minutes.,PE,system shall let the administrator addremove categories on the website in under 5 minutes,4
382,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PE,system shall let izogn manager access sales and usage statistics in under 2 minutes,4
